Season,Team,Champion,GP,W,L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
2006,Portland Trail Blazers,FALSE,82,32,50,7717,2874,6392,45,426,1232,34.6,1543,2006,76.9,923,2299,3222,1513,555,380,1236,1931
2007,Portland Trail Blazers,FALSE,82,41,41,7820,2935,6546,44.8,538,1426,37.7,1412,1841,76.7,901,2438,3339,1733,455,360,1056,1642
2008,Portland Trail Blazers,FALSE,82,54,28,8153,3018,6494,46.5,596,1555,38.3,1521,1988,76.5,1060,2360,3420,1667,550,402,1055,1671
2009,Portland Trail Blazers,FALSE,82,50,32,8045,2974,6453,46.1,491,1388,35.4,1606,2033,79,913,2383,3296,1674,523,350,1012,1715
2010,Portland Trail Blazers,FALSE,82,48,34,7896,2951,6599,44.7,518,1503,34.5,1476,1835,80.4,996,2230,3226,1736,660,358,1070,1585
2011,Portland Trail Blazers,FALSE,66,28,38,6415,2402,5417,44.3,478,1382,34.6,1133,1423,79.6,735,1949,2684,1349,528,322,935,1251
2012,Portland Trail Blazers,FALSE,82,33,49,7995,3009,6715,44.8,673,1904,35.3,1304,1680,77.6,874,2474,3348,1784,538,353,1203,1518
2013,Portland Trail Blazers,FALSE,82,54,28,8753,3207,7134,45,770,2071,37.2,1569,1926,81.5,1022,2786,3808,1904,454,387,1125,1576
1968,Phoenix Suns,FALSE,82,16,66,9162,3541,0,0,0,0,0,0,2950,70.5,0,0,0,1918,0,0,0,2086
1969,Phoenix Suns,FALSE,82,39,43,9786,3676,0,0,0,0,0,0,3270,74.4,0,0,0,2076,0,0,0,2183
1970,Phoenix Suns,FALSE,82,48,34,9333,3503,0,0,0,0,0,0,3078,75.6,0,0,0,1927,0,0,0,2132
1971,Phoenix Suns,FALSE,82,49,33,9534,3599,0,0,0,0,0,0,2999,77.9,0,0,0,1976,0,0,0,2026
1972,Phoenix Suns,FALSE,82,38,44,9155,3612,0,0,0,0,0,0,2437,79.2,0,0,0,1944,0,0,0,2012
1973,Phoenix Suns,FALSE,82,30,52,8847,3555,0,0,0,0,0,0,2235,77.7,1090,2723,3813,2052,658,305,1666,2123
1974,Phoenix Suns,FALSE,82,32,50,8297,3381,0,0,0,0,0,0,2082,73.7,1349,2684,4033,1879,664,317,1760,2090
1975,Phoenix Suns,FALSE,82,42,40,8620,3420,0,0,0,0,0,0,2337,76.2,1108,2558,3666,2083,853,349,1852,2018
1976,Phoenix Suns,FALSE,82,34,48,8603,3406,0,0,0,0,0,0,2345,76.4,1059,2493,3552,2100,750,346,1830,2089
1977,Phoenix Suns,FALSE,82,49,33,9211,3731,0,0,0,0,0,0,2329,75.1,1166,2579,3745,2338,1059,372,1766,1956
1978,Phoenix Suns,FALSE,82,50,32,9459,3847,0,0,0,0,0,0,2299,76.8,1083,2379,3462,2500,915,337,1760,1944
1979,Phoenix Suns,FALSE,82,55,27,9114,3570,0,0,68,0,0,0,2466,77.3,1071,2458,3529,2283,908,344,1629,1853
1980,Phoenix Suns,FALSE,82,57,25,9019,3587,0,0,35,0,0,0,2430,74.5,1234,2490,3724,2205,876,416,1733,1996
1981,Phoenix Suns,FALSE,82,46,36,8705,3508,0,0,54,0,0,0,2157,75.8,1123,2517,3640,2223,753,429,1528,2029
1982,Phoenix Suns,FALSE,82,53,29,8776,3555,7158,49.7,40,158,25.3,1626,2189,74.3,1094,2518,3612,2300,749,495,1545,2062
1983,Phoenix Suns,FALSE,82,41,41,9101,3677,7220,50.9,74,291,25.4,1673,2204,75.9,1066,2298,3364,2214,693,388,1451,2147
1984,Phoenix Suns,FALSE,82,36,46,8858,3507,7144,49.1,87,307,28.3,1757,2280,77.1,1026,2425,3451,2335,727,349,1583,2034
1985,Phoenix Suns,FALSE,82,32,50,9023,3518,6993,50.3,38,183,20.8,1949,2683,72.6,1034,2449,3483,2272,773,379,1763,2260
1986,Phoenix Suns,FALSE,82,36,46,9111,3575,7190,49.7,61,252,24.2,1900,2499,76,1113,2366,3479,2354,703,397,1497,2047
1987,Phoenix Suns,FALSE,82,28,54,8901,3551,7302,48.6,118,357,33.1,1681,2200,76.4,1113,2379,3492,2332,675,353,1413,2045
1988,Phoenix Suns,FALSE,82,55,27,9727,3754,7545,49.8,168,481,34.9,2051,2594,79.1,1095,2619,3714,2280,693,416,1279,1933
1989,Phoenix Suns,FALSE,82,54,28,9423,3544,7139,49.6,176,543,32.4,2159,2716,79.5,1053,2651,3704,2109,668,501,1275,1825
1990,Phoenix Suns,FALSE,82,55,27,9348,3573,7199,49.6,138,432,31.9,2064,2680,77,1132,2598,3730,2209,687,535,1302,1850
1991,Phoenix Suns,FALSE,82,53,29,9194,3553,7219,49.2,227,596,38.1,1861,2397,77.6,1088,2558,3646,2202,673,582,1243,1852
1992,Phoenix Suns,FALSE,82,62,20,9298,3494,7093,49.3,398,1095,36.3,1912,2539,75.3,1141,2510,3651,2087,752,455,1359,1739
1993,Phoenix Suns,FALSE,82,56,26,8876,3429,7080,48.4,344,1042,33,1674,2301,72.8,1220,2453,3673,2261,745,460,1305,1639
1994,Phoenix Suns,FALSE,82,59,23,9073,3356,6967,48.2,584,1584,36.9,1777,2352,75.6,1027,2403,3430,2198,687,312,1167,1839
1995,Phoenix Suns,FALSE,82,41,41,8552,3159,6673,47.3,327,984,33.2,1907,2472,77.1,1009,2501,3510,2001,623,331,1207,1776
1996,Phoenix Suns,FALSE,82,40,42,8431,3143,6705,46.9,527,1428,36.9,1618,2125,76.1,916,2376,3292,2067,664,322,1180,1727
1997,Phoenix Suns,FALSE,82,56,26,8166,3138,6710,46.8,431,1211,35.6,1459,1948,74.9,991,2452,3443,2124,756,429,1236,1765
1998,Phoenix Suns,FALSE,50,27,23,4779,1797,4004,44.9,261,702,37.2,924,1215,76,598,1418,2016,1249,444,200,681,1022
1999,Phoenix Suns,FALSE,82,53,29,8111,3093,6771,45.7,458,1246,36.8,1467,1934,75.9,1022,2558,3580,2098,744,433,1368,1973
2000,Phoenix Suns,FALSE,82,51,31,7710,2944,6757,43.6,332,1054,31.5,1490,1973,75.5,970,2529,3499,1905,775,429,1250,1864
2001,Phoenix Suns,FALSE,82,36,46,7802,3097,6934,44.7,358,1096,32.7,1250,1630,76.7,1072,2430,3502,1838,668,401,1205,1785
2002,Phoenix Suns,FALSE,82,44,38,7834,3005,6776,44.3,394,1149,34.3,1430,1928,74.2,1049,2440,3489,1719,665,404,1208,1801
2003,Phoenix Suns,FALSE,82,29,53,7723,2958,6671,44.3,415,1202,34.5,1392,1865,74.6,924,2406,3330,1586,734,383,1249,1862
2004,Phoenix Suns,FALSE,82,62,20,9054,3351,7018,47.7,796,2026,39.3,1556,2080,74.8,967,2652,3619,1927,572,453,1125,1563
2005,Phoenix Suns,FALSE,82,54,28,8886,3430,7167,47.9,837,2097,39.9,1189,1475,80.6,778,2650,3428,2179,549,412,1088,1683
2006,Phoenix Suns,FALSE,82,61,21,9037,3388,6855,49.4,785,1965,39.9,1476,1827,80.8,737,2583,3320,2122,553,394,1189,1659
2007,Phoenix Suns,FALSE,82,55,27,9026,3392,6782,50,694,1764,39.3,1548,1977,78.3,720,2683,3403,2188,532,518,1184,1633
2008,Phoenix Suns,FALSE,82,46,36,8974,3373,6695,50.4,553,1445,38.3,1675,2251,74.4,900,2520,3420,1905,589,420,1288,1691
2009,Phoenix Suns,FALSE,82,54,28,9039,3339,6788,49.2,730,1770,41.2,1631,2117,77,910,2616,3526,1912,479,418,1210,1713
2010,Phoenix Suns,FALSE,82,40,42,8611,3219,6844,47,701,1857,37.7,1472,1939,75.9,821,2478,3299,1945,545,357,1169,1666
2011,Phoenix Suns,FALSE,66,33,33,6492,2495,5445,45.8,444,1295,34.3,1058,1397,75.7,717,2035,2752,1486,431,366,928,1233
2012,Phoenix Suns,FALSE,82,25,57,7805,3061,6917,44.3,480,1455,33,1203,1618,74.4,959,2454,3413,1855,659,434,1278,1688
2013,Phoenix Suns,FALSE,82,48,34,8629,3172,6845,46.3,765,2055,37.2,1520,2004,75.8,928,2601,3529,1563,688,374,1258,1798
2002,New Orleans Hornets,FALSE,82,47,35,7699,2914,6695,43.5,404,1075,37.6,1467,1910,76.8,1097,2475,3572,1807,656,394,1212,1769
2003,New Orleans Hornets,FALSE,82,41,41,7529,2772,6605,42,531,1666,31.9,1454,1937,75.1,1091,2418,3509,1716,708,346,1228,1715
2004,New Orleans Hornets,FALSE,82,18,64,7252,2718,6556,41.5,415,1316,31.5,1401,1830,76.6,1019,2281,3300,1724,550,310,1217,1883
2005,New Orleans/Oklahoma City Hornets,FALSE,82,38,44,7611,2831,6428,44,300,885,33.9,1649,2176,75.8,918,2379,3297,1519,611,311,1095,1786
2006,New Orleans/Oklahoma City Hornets,FALSE,82,39,43,7833,2971,6674,44.5,455,1256,36.2,1436,1941,74,1025,2512,3537,1537,522,347,1187,1620
2007,New Orleans Hornets,FALSE,82,56,26,8270,3164,6796,46.6,630,1621,38.9,1312,1707,76.9,937,2494,3431,1785,637,321,974,1531
2008,New Orleans Hornets,FALSE,82,49,33,7857,2911,6366,45.7,556,1526,36.4,1479,1833,80.7,802,2453,3255,1609,593,338,1029,1665
2009,New Orleans Hornets,FALSE,82,37,45,8220,3178,6842,46.4,571,1572,36.3,1293,1661,77.8,852,2450,3302,1828,625,300,1103,1606
2010,New Orleans Hornets,FALSE,82,46,36,7784,2944,6416,45.9,444,1232,36,1452,1897,76.5,824,2468,3292,1691,624,359,1069,1719
2011,New Orleans Hornets,FALSE,66,21,45,5916,2300,5103,45.1,259,777,33.3,1057,1397,75.7,724,1991,2715,1368,488,316,1024,1324
2012,New Orleans Hornets,FALSE,82,27,55,7714,2955,6589,44.8,535,1474,36.3,1269,1636,77.6,988,2426,3414,1721,520,440,1193,1673
2013,New Orleans Pelicans,FALSE,82,34,48,8177,3101,6761,45.9,486,1303,37.3,1489,1936,76.9,933,2486,3419,1745,647,523,1129,1857
1974,New Orleans Jazz,FALSE,82,23,59,8319,3301,0,0,0,0,0,0,2247,76.4,1144,2616,3760,1818,725,256,1802,2222
1975,New Orleans Jazz,FALSE,82,38,44,8535,3352,0,0,0,0,0,0,2415,75.8,1189,2779,3968,1765,750,343,1659,2175
1976,New Orleans Jazz,FALSE,82,35,47,8574,3443,0,0,0,0,0,0,2183,77.3,1249,2828,4077,1854,613,357,1706,2099
1977,New Orleans Jazz,FALSE,82,39,43,8826,3568,0,0,0,0,0,0,2331,72.5,1309,2907,4216,2079,662,514,1694,1938
1978,New Orleans Jazz,FALSE,82,26,56,8882,3517,0,0,0,0,0,0,2409,76.7,1234,2676,3910,2079,760,559,1764,1940
1979,Utah Jazz,FALSE,82,24,58,8394,3382,0,0,59,0,0,0,1943,80.9,967,2359,3326,2005,656,362,1543,2006
1980,Utah Jazz,FALSE,82,28,54,8301,3332,0,0,42,0,0,0,2080,76.7,962,2325,3287,1948,637,386,1423,2110
1981,Utah Jazz,FALSE,82,25,57,9094,3679,0,0,22,0,0,0,2282,75.1,1147,2362,3509,1895,700,357,1435,2196
1982,Utah Jazz,FALSE,82,30,52,8938,3525,7342,48,44,183,24,1844,2440,75.6,1093,2550,3643,2176,758,595,1683,2017
1983,Utah Jazz,FALSE,82,45,37,9428,3606,7242,49.8,101,317,31.9,2115,2708,78.1,1096,2522,3618,2230,695,604,1510,1978
1984,Utah Jazz,FALSE,82,41,41,8937,3478,7302,47.6,103,307,33.6,1878,2434,77.2,1081,2554,3635,2143,712,697,1575,1961
1985,Utah Jazz,FALSE,82,42,40,8871,3453,7083,48.8,35,169,20.7,1930,2694,71.6,1068,2479,3547,2199,717,666,1518,2038
1986,Utah Jazz,FALSE,82,44,38,8844,3485,7514,46.4,139,448,31,1735,2389,72.6,1194,2456,3650,2240,835,628,1403,2040
1987,Utah Jazz,FALSE,82,47,35,8899,3484,7092,49.1,129,404,31.9,1802,2404,75,1066,2553,3619,2407,771,627,1481,1986
1988,Utah Jazz,FALSE,82,51,31,8588,3182,6595,48.2,114,380,30,2110,2742,77,1050,2607,3657,2108,720,583,1532,1894
1989,Utah Jazz,FALSE,82,55,27,8760,3330,6593,50.5,226,630,35.9,1874,2484,75.4,953,2501,3454,2212,677,491,1410,2031
1990,Utah Jazz,FALSE,82,54,28,8527,3214,6537,49.2,148,458,32.3,1951,2472,78.9,867,2474,3341,2217,652,451,1305,1796
1991,Utah Jazz,FALSE,82,55,27,8877,3379,6866,49.2,158,458,34.5,1961,2490,78.8,1097,2543,3640,2188,715,448,1264,1746
1992,Utah Jazz,FALSE,82,47,35,8709,3336,6828,48.9,130,414,31.4,1907,2491,76.6,1041,2463,3504,2177,746,344,1270,1965
1993,Utah Jazz,FALSE,82,53,29,8354,3207,6729,47.7,179,559,32,1761,2379,74,1059,2385,3444,2179,751,364,1191,1988
1994,Utah Jazz,FALSE,82,60,22,8726,3243,6339,51.2,301,801,37.6,1939,2483,78.1,874,2412,3286,2256,758,392,1289,2045
1995,Utah Jazz,FALSE,82,55,27,8404,3129,6417,48.8,377,1013,37.2,1769,2302,76.8,993,2373,3366,2139,667,418,1215,2046
1996,Utah Jazz,FALSE,82,64,18,8454,3131,6217,50.4,334,902,37,1858,2416,76.9,889,2410,3299,2199,748,418,1259,1981
1997,Utah Jazz,FALSE,82,62,20,8279,2993,6113,49,249,670,37.2,2044,2644,77.3,962,2405,3367,2070,648,412,1259,1961
1998,Utah Jazz,FALSE,50,37,13,4666,1684,3620,46.5,140,388,36.1,1158,1510,76.7,555,1508,2063,1204,398,276,814,1133
1999,Utah Jazz,FALSE,82,55,27,7914,2962,6380,46.4,329,854,38.5,1661,2150,77.3,936,2426,3362,2041,629,446,1220,2013
2000,Utah Jazz,FALSE,82,53,29,7959,2960,6289,47.1,325,852,38.1,1714,2280,75.2,943,2383,3326,2110,661,463,1296,2107
2001,Utah Jazz,FALSE,82,44,38,7871,2869,6374,45,280,842,33.3,1853,2430,76.3,1109,2349,3458,1999,749,523,1353,1971
2002,Utah Jazz,FALSE,82,47,35,7762,2894,6189,46.8,224,641,34.9,1750,2349,74.5,1021,2381,3402,2103,708,467,1374,1837
2003,Utah Jazz,FALSE,82,42,40,7271,2690,6172,43.6,252,786,32.1,1639,2196,74.6,1103,2272,3375,1671,583,494,1365,2096
2004,Utah Jazz,FALSE,82,26,56,7625,2828,6301,44.9,250,762,32.8,1719,2272,75.7,1047,2243,3290,1826,541,374,1292,2189
2005,Utah Jazz,FALSE,82,41,41,7573,2744,6207,44.2,311,925,33.6,1774,2466,71.9,1071,2380,3451,1772,524,492,1290,2032
2006,Utah Jazz,FALSE,82,51,31,8322,3069,6471,47.4,354,1056,33.5,1830,2462,74.3,1030,2456,3486,2024,577,339,1277,2067
2007,Utah Jazz,FALSE,82,54,28,8710,3279,6592,49.7,407,1095,37.2,1745,2298,75.9,942,2410,3352,2165,717,355,1200,1970
2008,Utah Jazz,FALSE,82,48,34,8492,3143,6623,47.5,392,1122,34.9,1814,2352,77.1,940,2423,3363,2024,719,374,1210,1830
2009,Utah Jazz,FALSE,82,53,29,8547,3227,6575,49.1,439,1207,36.4,1654,2233,74.1,872,2588,3460,2187,675,400,1246,1859
2010,Utah Jazz,FALSE,82,39,43,8153,3064,6590,46.5,435,1256,34.6,1590,2061,77.1,898,2338,3236,1921,629,484,1175,1865
2011,Utah Jazz,FALSE,66,36,30,6577,2523,5531,45.6,273,845,32.3,1258,1668,75.4,861,2055,2916,1439,545,385,936,1441
2012,Utah Jazz,FALSE,82,43,39,8038,3046,6710,45.4,507,1385,36.6,1439,1883,76.4,989,2457,3446,1859,690,515,1210,1750
2013,Utah Jazz,FALSE,82,25,57,7791,2951,6652,44.4,543,1577,34.4,1346,1803,74.7,904,2477,3381,1664,570,366,1200,1699
1948,Rochester Royals,FALSE,60,45,15,5042,1811,0,0,0,0,0,0,2060,68.9,0,0,0,1259,0,0,0,1539
1949,Rochester Royals,FALSE,68,51,17,5602,1956,0,0,0,0,0,0,2319,72.9,0,0,0,1383,0,0,0,1585
1950,Rochester Royals,TRUE,68,41,27,5756,2032,0,0,0,0,0,0,2248,75.3,0,0,0,1368,0,0,0,1534
1951,Rochester Royals,FALSE,66,41,25,5689,2014,0,0,0,0,0,0,2150,77.3,0,0,0,1590,0,0,0,1804
1952,Rochester Royals,FALSE,70,44,26,6043,2019,0,0,0,0,0,0,2747,73,0,0,0,1520,0,0,0,2210
1953,Rochester Royals,FALSE,72,44,28,5742,2010,0,0,0,0,0,0,2518,68.4,0,0,0,1454,0,0,0,1904
1954,Rochester Royals,FALSE,72,29,43,6535,2399,0,0,0,0,0,0,2420,71.8,0,0,0,1695,0,0,0,1865
1955,Rochester Royals,FALSE,72,31,41,6900,2551,0,0,0,0,0,0,2567,70,0,0,0,1747,0,0,0,1990
1956,Rochester Royals,FALSE,72,31,41,6728,2515,0,0,0,0,0,0,2402,70.7,0,0,0,1298,0,0,0,1866
1957,Cincinnati Royals,FALSE,72,33,39,7322,2817,0,0,0,0,0,0,2372,71.2,0,0,0,1578,0,0,0,1835
1958,Cincinnati Royals,FALSE,72,19,53,7421,2854,0,0,0,0,0,0,2375,72.1,0,0,0,1369,0,0,0,1855
1959,Cincinnati Royals,FALSE,75,19,56,8333,3210,0,0,0,0,0,0,2672,71.6,0,0,0,1747,0,0,0,2097
1960,Cincinnati Royals,FALSE,79,33,46,9312,3626,0,0,0,0,0,0,2761,74.6,0,0,0,2107,0,0,0,2159
1961,Cincinnati Royals,FALSE,80,43,37,9845,3806,0,0,0,0,0,0,2969,75.2,0,0,0,2154,0,0,0,2081
1962,Cincinnati Royals,FALSE,80,42,38,9527,3672,0,0,0,0,0,0,2923,74.7,0,0,0,1931,0,0,0,2203
1963,Cincinnati Royals,FALSE,80,55,25,9178,3516,0,0,0,0,0,0,2828,75.9,0,0,0,1916,0,0,0,2139
1964,Cincinnati Royals,FALSE,80,48,32,9134,3482,0,0,0,0,0,0,2866,75.7,0,0,0,1843,0,0,0,1992
1965,Cincinnati Royals,FALSE,80,45,35,9424,3610,0,0,0,0,0,0,2906,75.8,0,0,0,1818,0,0,0,2033
1966,Cincinnati Royals,FALSE,81,39,42,9487,3654,0,0,0,0,0,0,2806,77.7,0,0,0,1858,0,0,0,2073
1967,Cincinnati Royals,FALSE,82,39,43,9562,3679,0,0,0,0,0,0,2892,76.2,0,0,0,2048,0,0,0,2016
1968,Cincinnati Royals,FALSE,82,41,41,9392,3565,0,0,0,0,0,0,3012,75.1,0,0,0,1983,0,0,0,2031
1969,Cincinnati Royals,FALSE,82,36,46,9616,3767,0,0,0,0,0,0,2841,73.3,0,0,0,1992,0,0,0,2215
1970,Cincinnati Royals,FALSE,82,33,49,9511,3805,0,0,0,0,0,0,2622,72.5,0,0,0,2022,0,0,0,2126
1971,Cincinnati Royals,FALSE,82,30,52,8836,3444,0,0,0,0,0,0,2578,75.6,0,0,0,2020,0,0,0,2079
1972,Kansas City-Omaha Kings,FALSE,82,36,46,8822,3621,0,0,0,0,0,0,2036,77.6,0,0,0,2118,0,0,0,2054
1973,Kansas City-Omaha Kings,FALSE,82,33,49,8366,3369,0,0,0,0,0,0,2104,77.4,1112,2554,3666,1744,796,384,1791,1916
1974,Kansas City-Omaha Kings,FALSE,82,44,38,8311,3257,0,0,0,0,0,0,2190,82.1,991,2745,3736,1853,724,347,1542,1968
1975,Kansas City Kings,FALSE,82,31,51,8474,3341,0,0,0,0,0,0,2335,76.7,1133,2668,3801,1864,751,324,1607,2056
1976,Kansas City Kings,FALSE,82,40,42,8828,3561,0,0,0,0,0,0,2140,79.7,1222,2593,3815,1982,849,386,1576,2173
1977,Kansas City Kings,FALSE,82,31,51,8977,3601,0,0,0,0,0,0,2262,78.5,1208,2632,3840,1992,794,370,1690,2228
1978,Kansas City Kings,FALSE,82,48,34,9274,3764,0,0,0,0,0,0,2392,73,1191,2404,3595,2239,825,390,1631,2419
1979,Kansas City Kings,FALSE,82,47,35,8860,3582,0,0,25,0,0,0,2250,74.3,1187,2429,3616,2123,863,356,1439,2135
1980,Kansas City Kings,FALSE,82,40,42,8769,3572,0,0,49,0,0,0,2206,71.4,1037,2450,3487,2271,719,385,1448,2092
1981,Kansas City Kings,FALSE,82,30,52,8785,3604,0,0,26,0,0,0,2158,71.9,1086,2276,3362,2056,743,402,1507,2359
1982,Kansas City Kings,FALSE,82,45,37,9328,3719,7485,49.7,51,215,23.7,1839,2530,72.7,1256,2407,3663,2155,765,409,1691,2432
1983,Kansas City Kings,FALSE,82,38,44,9023,3516,7230,48.6,52,189,27.5,1939,2495,77.7,1144,2273,3417,2229,715,383,1504,2200
1984,Kansas City Kings,FALSE,82,31,51,9413,3664,7275,50.4,63,238,26.5,2022,2595,77.9,1167,2327,3494,2342,661,300,1593,2169
1985,Sacramento Kings,FALSE,82,37,45,8924,3538,7220,49,30,134,22.4,1818,2338,77.8,1135,2377,3512,2304,602,388,1533,2134
1986,Sacramento Kings,FALSE,82,29,53,9095,3522,7413,47.5,77,307,25.1,1974,2479,79.6,1282,2441,3723,2185,513,397,1403,2007
1987,Sacramento Kings,FALSE,82,24,58,8855,3458,7337,47.1,144,450,32,1795,2324,77.2,1232,2461,3693,2116,582,493,1457,1895
1988,Sacramento Kings,FALSE,82,27,55,8651,3362,7351,45.7,307,824,37.3,1620,2104,77,1141,2454,3595,1970,624,409,1370,1877
1989,Sacramento Kings,FALSE,82,23,59,8341,3305,7056,46.8,216,649,33.3,1515,1964,77.1,952,2363,3315,2052,546,392,1239,1863
1990,Sacramento Kings,FALSE,82,25,57,7928,3086,6818,45.3,216,578,37.4,1540,2105,73.2,1027,2218,3245,1991,631,513,1272,2075
1991,Sacramento Kings,FALSE,82,29,53,8549,3348,7189,46.6,238,675,35.3,1615,2162,74.7,1054,2354,3408,1957,727,618,1360,1763
1992,Sacramento Kings,FALSE,82,25,57,8847,3360,7264,46.3,262,788,33.2,1865,2447,76.2,1137,2281,3418,2075,768,348,1364,2085
1993,Sacramento Kings,FALSE,82,28,54,8291,3179,7027,45.2,257,729,35.3,1676,2292,73.1,1122,2349,3471,2029,669,355,1333,1979
1994,Sacramento Kings,FALSE,82,39,43,8056,3025,6463,46.8,359,1037,34.6,1647,2317,71.1,1073,2325,3398,1824,650,457,1449,2040
1995,Sacramento Kings,FALSE,82,39,43,8163,2971,6494,45.7,462,1194,38.7,1759,2407,73.1,1114,2345,3459,1829,643,436,1442,2131
1996,Sacramento Kings,FALSE,82,34,48,7908,3000,6611,45.4,414,1058,39.1,1494,2067,72.3,1100,2307,3407,1799,588,362,1332,1946
1997,Sacramento Kings,FALSE,82,27,55,7637,2957,6684,44.2,283,806,35.1,1440,2096,68.7,1094,2304,3398,1836,596,420,1271,1810
1998,Sacramento Kings,FALSE,50,27,23,5009,1918,4307,44.5,290,943,30.8,883,1293,68.3,706,1573,2279,1129,444,232,842,1016
1999,Sacramento Kings,FALSE,82,44,38,8607,3276,7288,45,534,1656,32.2,1521,2016,75.4,1056,2635,3691,1953,787,381,1325,1729
2000,Sacramento Kings,FALSE,82,55,27,8343,3132,6969,44.9,479,1353,35.4,1600,2075,77.1,987,2705,3692,1852,793,432,1221,1596
2001,Sacramento Kings,FALSE,82,61,21,8578,3267,7003,46.7,426,1160,36.7,1618,2154,75.1,1013,2702,3715,1958,741,375,1128,1560
2002,Sacramento Kings,FALSE,82,59,23,8342,3242,6990,46.4,491,1288,38.1,1367,1832,74.6,900,2751,3651,2034,736,457,1192,1666
2003,Sacramento Kings,FALSE,82,55,27,8433,3103,6711,46.2,601,1498,40.1,1626,2044,79.5,888,2492,3380,2152,710,325,1137,1586
2004,Sacramento Kings,FALSE,82,50,32,8505,3203,6978,45.9,522,1396,37.4,1577,2004,78.7,1023,2455,3478,2005,674,316,1073,1685
2005,Sacramento Kings,FALSE,82,44,38,8106,2954,6500,45.4,494,1408,35.1,1704,2173,78.4,852,2473,3325,1825,608,299,1199,1672
2006,Sacramento Kings,FALSE,82,33,49,8303,2941,6532,45,530,1513,35,1891,2473,76.5,797,2396,3193,1665,671,265,1194,1792
2007,Sacramento Kings,FALSE,82,38,44,8408,3043,6558,46.4,510,1367,37.3,1812,2272,79.8,829,2456,3285,1567,651,334,1317,1839
2008,Sacramento Kings,FALSE,82,17,65,8248,2990,6685,44.7,586,1594,36.8,1682,2107,79.8,840,2366,3206,1619,569,349,1266,1910
2009,Sacramento Kings,FALSE,82,25,57,8200,3144,6895,45.6,482,1383,34.9,1430,1969,72.6,977,2518,3495,1679,564,366,1226,1827
2010,Sacramento Kings,FALSE,82,24,58,8151,3134,6979,44.9,428,1277,33.5,1455,1981,73.4,1071,2526,3597,1675,608,391,1324,1805
2011,Sacramento Kings,FALSE,66,22,44,6518,2490,5712,43.6,411,1301,31.6,1127,1532,73.6,882,1947,2829,1271,561,323,952,1287
2012,Sacramento Kings,FALSE,82,28,54,8219,3086,6904,44.7,610,1681,36.3,1437,1869,76.9,943,2385,3328,1708,671,342,1199,1717
2013,Sacramento Kings,FALSE,82,28,54,8241,3026,6766,44.7,491,1475,33.3,1698,2237,75.9,990,2656,3646,1547,587,318,1249,1849
2015-16,Golden State Warriors,TRUE,82,73,9,114.9,42.5,87.3,48.7,13.1,31.6,41.6,16.7,21.8,76.3,10,36.2,46.2,28.9,8.4,6.1,15.2,20.7
2015-16,San Antonio Spurs,FALSE,82,67,15,103.5,40.1,82.9,48.4,7,18.5,37.5,16.4,20.4,80.3,9.4,34.5,43.9,24.5,8.3,5.9,13.1,17.5
2015-16,Cleveland Cavaliers,FALSE,82,57,25,104.3,38.7,84,46,10.7,29.6,36.2,16.3,21.7,74.8,10.6,33.9,44.5,22.7,6.7,3.9,13.6,20.3
2015-16,Toronto Raptors,FALSE,82,56,26,102.7,36.7,81.3,45.1,8.6,23.3,37,20.8,26.7,77.7,10.2,33.2,43.4,18.7,7.8,5.5,13.1,19.6
2015-16,Oklahoma City Thunder,FALSE,82,55,27,110.2,41.1,86.4,47.6,8.3,23.7,34.9,19.7,25.2,78.2,13.1,35.6,48.6,23,7.4,5.9,15.9,20.6
2015-16,LA Clippers,FALSE,82,53,29,104.5,38.3,82.4,46.5,9.7,26.7,36.4,18.2,26.2,69.2,8.8,33.3,42,22.8,8.6,5.6,13,21.3
2015-16,Miami Heat,FALSE,82,48,34,100,38.4,81.7,47,6.1,18,33.6,17.1,23,74.5,9.8,34.3,44.1,20.8,6.7,6.5,14.1,18.3
2015-16,Boston Celtics,FALSE,82,48,34,105.7,39.2,89.2,43.9,8.7,26.1,33.5,18.5,23.5,78.8,11.6,33.3,44.9,24.2,9.2,4.2,13.7,21.9
2015-16,Charlotte Hornets,FALSE,82,48,34,103.4,37,84.4,43.9,10.6,29.4,36.2,18.7,23.7,79,9,35,43.9,21.7,7.3,5.3,12.5,18.1
2015-16,Atlanta Hawks,FALSE,82,48,34,102.8,38.6,84.4,45.8,9.9,28.4,35,15.6,20,78.3,8.3,33.8,42.1,25.6,9.1,5.9,15,19.1
2015-16,Indiana Pacers,FALSE,82,45,37,102.2,38.3,85.2,45,8.1,23,35.1,17.4,22.8,76.4,10.3,33.9,44.2,21.2,9,4.8,14.9,20
2015-16,Detroit Pistons,FALSE,82,44,38,102,37.9,86.4,43.9,9,26.2,34.5,17.1,25.5,66.8,12.5,33.9,46.3,19.4,7,3.7,13.5,19
2015-16,Portland Trail Blazers,FALSE,82,44,38,105.1,38.6,85.9,45,10.5,28.5,37,17.4,23,75.4,11.6,33.9,45.5,21.3,6.9,4.6,14.6,21.7
2015-16,Dallas Mavericks,FALSE,82,42,40,102.3,37.4,84.1,44.4,9.8,28.6,34.4,17.7,22.3,79.4,9.2,33.9,43.1,22.1,6.8,3.7,12.8,19.5
